"assortedflotsam.com","*"
"bcn-users.degica.com","*"
"botsin.space","*"
"chaosphere.hostdon.jp","*"
"friends.nico","JC"
"friends.nico","kiri_bot01"
"friends.nico","yukimama"
"hongeipii.m.to","*"
"m.uncate.org","*"
"mamot.fr","fabre_gregori"
"masatodon.com","*"
"mstdn.jp","Patriot_silver"
"mastdn.jp","TOKYOLOVEMACHINE"
"mastdn.jp","kentoazumi"
"masto.pt","novas"
"mastodon-train.info","train_information"
"mastodon.anti-globalism.org","*"
"mastodon.chotto.moe","trainchubu"
"mastodon.chotto.moe","trainkanko"
"mastodon.cloud","h5jp"
"mastodon.cloud","yushi_shimada"
"mastodon.jtwp470.net","jtwp470"
"mastodon.robotstart.info","robotstart"
"mstdn.fm","h5jp"
"mstdn.hokkaido.jp","lupusdeluna"
"mstdn.jp","VATES"
"mstdn.jp","XOF"
"mstdn.jp","btcngmae"
"mstdn.io","h5jp"
"mstdn.jp","allfreesoft"
"mstdn.jp","EroGhost"
"mstdn.jp","h5jp"
"mstdn.jp","hongeipii"
"mstdn.jp","koyamtn_tm"
"mstdn.jp","rysk"
"mstdn.jp","yukimama"
"mstdn.niigata.jp","kentoazumi"
"mstdn.social","kentoazumi"
"mstdn.ybk28.net","*"
"open2.ch","nagooka"
"oransns.com","hazki"
"otoya.space","kentoazumi"
"pawoo.net","btcngame_com"
"pawoo.net","kimiki31"
"pawoo.net","majimanji"
"pawoo.net","matometa_kun"
"pleroma.fr","fediversemonitoring"
"s2.libera.blue","LiberaNews"
"sports-scores.win","*"
"tokamstdn.jp","h5jp"
"toot-lab.reclaim.technology","nowplaying"
"unnerv.jp","*"
